"app_id","positive","negative","estimated_owners","owners_min","owners_max","average_playtime_forever","average_playtime_2weeks","median_playtime_forever","median_playtime_2weeks","peak_ccu"
"1588010","4634","1565","200000 - 500000","200000","500000","2475","0","1343","0","430"
"815780","5773","425","200000 - 500000","200000","500000","9081","1","1323","1","10"
"1771980","5750","446","500000 - 1000000","500000","1000000","335","0","239","0","41"
"2366980","5987","209","200000 - 500000","200000","500000","177","0","160","0","25"
"2294660","2956","3234","200000 - 500000","200000","500000","1653","0","138","0","669"
"1135230","5814","375","500000 - 1000000","500000","1000000","1224","123","731","123","128"
"607260","5484","701","1000000 - 2000000","1000000","2000000","842","28","44","51","80"
"1677310","6035","149","100000 - 200000","100000","200000","808","0","524","0","152"
"2303350","5833","338","200000 - 500000","200000","500000","230","0","200","0","207"
"1432050","5623","546","200000 - 500000","200000","500000","679","275","360","454","27"
"829590","4856","1311","200000 - 500000","200000","500000","2126","0","227","0","101"
"564710","5814","350","500000 - 1000000","500000","1000000","2272","82","326","82","72"
"785740","4650","1507","500000 - 1000000","500000","1000000","850","5","428","5","38"
"860950","5913","241","200000 - 500000","200000","500000","411","1089","209","1089","20"
"433950","5929","219","500000 - 1000000","500000","1000000","143","46","79","46","3"
"1243830","4457","1684","500000 - 1000000","500000","1000000","681","135","229","135","325"
"1276760","3058","3083","200000 - 500000","200000","500000","4131","0","988","0","60"
"1796470","5603","531","100000 - 200000","100000","200000","426","82","296","117","358"
"1948800","4531","1601","500000 - 1000000","500000","1000000","2387","5","606","5","761"
"1098292","4140","1989","500000 - 1000000","500000","1000000","0","0","0","0","0"
"1266840","4962","1167","200000 - 500000","200000","500000","667","0","517","0","112"
"1493640","5288","840","500000 - 1000000","500000","1000000","1243","2803","615","2803","86"
"427270","4205","1915","1000000 - 2000000","1000000","2000000","1191","0","83","0","2"
"978460","5618","496","200000 - 500000","200000","500000","305","0","231","0","17"
"1866180","5539","571","200000 - 500000","200000","500000","189","0","125","0","6"
"1705180","5616","492","200000 - 500000","200000","500000","528","75","233","92","102"
"688130","5105","998","200000 - 500000","200000","500000","581","4","124","4","31"
"898750","5285","817","500000 - 1000000","500000","1000000","3752","324","3566","324","283"
"1139890","5740","355","50000 - 100000","50000","100000","383","0","433","0","9"
"1032430","4917","1176","500000 - 1000000","500000","1000000","381","0","346","0","74"
"356040","4972","1120","200000 - 500000","200000","500000","711","0","377","0","22"
"1367590","5544","545","500000 - 1000000","500000","1000000","309","1","207","1","17"
"654880","5578","509","1000000 - 2000000","1000000","2000000","397","0","270","0","21"
"774241","3505","2567","500000 - 1000000","500000","1000000","403","0","202","0","14"
"1215390","5808","257","200000 - 500000","200000","500000","1044","0","319","0","165"
"2719030","4835","1229","200000 - 500000","200000","500000","2363","456","1202","650","225"
"3059070","5166","896","200000 - 500000","200000","500000","280","214","189","265","169"
"606800","4942","1120","200000 - 500000","200000","500000","887","135","412","135","49"
"848350","5615","406","200000 - 500000","200000","500000","339","0","159","0","26"
"1138660","5575","446","200000 - 500000","200000","500000","594","96","217","96","24"
"795100","5644","374","500000 - 1000000","500000","1000000","227","0","54","0","6"
"557180","3275","2742","500000 - 1000000","500000","1000000","2640","13","79","13","15"
"1145960","5639","374","200000 - 500000","200000","500000","142","0","134","0","24"
"322190","5622","390","500000 - 1000000","500000","1000000","352","22","197","22","27"
