"app_id","supported_languages"
"275850","Italian"
"275850","Portuguese - Portugal"
"289070","German"
"289070","English"
"289070","French"
"289070","Portuguese - Brazil"
"289070","Traditional Chinese"
"289070","Korean"
"289070","Spanish - Spain"
"289070","Polish"
"289070","Simplified Chinese"
"289070","Japanese"
"289070","Russian"
"289070","Italian"
"444090","German"
"444090","English"
"444090","French"
"444090","Portuguese - Brazil"
"444090","Spanish - Spain"
"444090","Polish"
"444090","Japanese"
"444090","Russian"
"444090","Turkish"
"648800","German"
"648800","English"
"648800","French"
"648800","Portuguese - Brazil"
"648800","Korean"
"648800","Spanish - Spain"
"648800","Swedish"
"648800","Polish"
"648800","Simplified Chinese"
"648800","Japanese"
"648800","Russian"
"648800","Italian"
"548430","German"
"548430","English"
"548430","French"
"548430","Portuguese - Brazil"
"548430","Traditional Chinese"
"548430","Ukrainian"
"548430","Korean"
"548430","Hungarian"
"548430","Spanish - Spain"
"548430","Romanian"
"548430","Polish"
"548430","Japanese"
"548430","Simplified Chinese"
"548430","Turkish"
"548430","Spanish - Latin America"
"548430","Russian"
"548430","Italian"
"394360","German"
"394360","English"
"394360","French"
"394360","Portuguese - Brazil"
"394360","Korean"
"394360","Spanish - Spain"
"394360","Polish"
"394360","Simplified Chinese"
"394360","Japanese"
"394360","Russian"
"489830","German"
"489830","English"
"489830","French"
"489830","Traditional Chinese"
"489830","Spanish - Spain"
"489830","Polish"
"489830","Japanese"
"489830","Russian"
"489830","Italian"
"1203220","English"
"1203220","German"
"1203220","French"
"1203220","Vietnamese"
"1203220","Traditional Chinese"
"1203220","Thai"
"1203220","Korean"
"1203220","Spanish - Spain"
"1203220","Japanese"
"1203220","Simplified Chinese"
"1203220","Russian"
"1203220","Turkish"
"1203220","Portuguese - Portugal"
"814380","German"
"814380","English"
"814380","French"
"814380","Portuguese - Brazil"
"814380","Thai"
"814380","Traditional Chinese"
"814380","Korean"
"814380","Spanish - Spain"
"814380","Polish"
"814380","Simplified Chinese"
"814380","Japanese"
"814380","Russian"
"814380","Italian"
"990080","German"
"990080","English"
"990080","French"
"990080","Portuguese - Brazil"
"990080","Traditional Chinese"
"990080","Korean"
"990080","Spanish - Spain"
"990080","Polish"
"990080","Simplified Chinese"
"990080","Japanese"
"990080","Arabic"
"990080","Spanish - Latin America"
"990080","Russian"
"990080","Italian"
"264710","German"
"264710","Vietnamese"
"264710","Portuguese - Brazil"
"264710","Spanish - Spain"
"264710","Slovak"
"264710","Russian"
"264710","Italian"
"264710","Dutch"
"264710","Turkish"
"264710","Lithuanian"
"264710","English"
"264710","Ukrainian"
"264710","Traditional Chinese"
"264710","Spanish - Latin America"
"264710","Latvian"
"264710","Hungarian"
"264710","Danish"
"264710","Japanese"
"264710","Czech"
"264710","Finnish"
"264710","French"
"264710","Korean"
"264710","Swedish"
"264710","Bulgarian"
"264710","Polish"
"264710","Simplified Chinese"
"264710","Portuguese - Portugal"
"632360","German"
"632360","English"
"632360","French"
"632360","Portuguese - Brazil"
"632360","Korean"
"632360","Spanish - Spain"
"632360","Simplified Chinese"
"632360","Japanese"
"632360","Turkish"
"632360","Russian"
"632360","Italian"
"2767030","German"
"2767030","English"
"2767030","French"
"2767030","Portuguese - Brazil"
"2767030","Thai"
"2767030","Traditional Chinese"
"2767030","Korean"
"2767030","Spanish - Spain"
"2767030","Polish"
"2767030","Arabic"
"2767030","Japanese"
"2767030","Simplified Chinese"
"2767030","Turkish"
"2767030","Spanish - Latin America"
"2767030","Russian"
"2767030","Italian"
"1063730","German"
"1063730","English"
"1063730","French"
"1063730","Portuguese - Brazil"
"1063730","Spanish - Spain"
"1063730","Polish"
"1063730","Spanish - Latin America"
"1063730","Italian"
"1118200","English"
"1145360","German"
"1145360","English"
"1145360","French"
"1145360","Portuguese - Brazil"
"1145360","Korean"
"1145360","Spanish - Spain"
"1145360","Polish"
"1145360","Japanese"
"1145360","Simplified Chinese"
"1145360","Russian"
"1145360","Italian"
"261550","Italian"
"261550","English"
"261550","German"
"261550","French"
"261550","Portuguese - Brazil"
"261550","Traditional Chinese"
"261550","Korean"
"261550","Polish"
"261550","Japanese"
"261550","Simplified Chinese"
"261550","Spanish - Latin America"
"261550","Russian"
"261550","Turkish"
"1237970","German"
"1237970","English"
"1237970","French"
"1237970","Traditional Chinese"
"1237970","Spanish - Spain"
"1237970","Polish"
"1237970","Spanish - Latin America"
"1237970","Russian"
"1237970","Italian"
"1237970","Portuguese - Portugal"
"1326470","Czech"
"1326470","German"
"1326470","English"
"1326470","French"
"1326470","Finnish"
"1326470","Portuguese - Brazil"
"1326470","Traditional Chinese"
"1326470","Korean"
"1326470","Spanish - Spain"
"1326470","Swedish"
"1326470","Polish"
"1326470","Simplified Chinese"
"1326470","Japanese"
"1326470","Turkish"
"1326470","Russian"
"1326470","Italian"
"1794680","German"
"1794680","English"
"1794680","French"
"1794680","Portuguese - Brazil"
"1794680","Ukrainian"
"1794680","Korean"
"1794680","Spanish - Spain"
"1794680","Polish"
"1794680","Simplified Chinese"
"1794680","Japanese"
"1794680","Turkish"
"1794680","Russian"
"1794680","Italian"
"1238810","German"
"1238810","English"
"1238810","French"
"1238810","Portuguese - Brazil"
"1238810","Traditional Chinese"
"1238810","Korean"
"1238810","Spanish - Spain"
"1238810","Polish"
"1238810","Simplified Chinese"
"1238810","Japanese"
"1238810","Arabic"
"1238810","Spanish - Latin America"
"1238810","Russian"
"1238810","Italian"
"594650","German"
"594650","English"
"594650","French"
"594650","Portuguese - Brazil"
"594650","Traditional Chinese"
"594650","Korean"
"594650","Spanish - Spain"
"594650","Polish"
"594650","Japanese"
"594650","Simplified Chinese"
"594650","Turkish"
"594650","Russian"
"594650","Italian"
"438100","German"
"438100","English"
"438100","French"
"438100","Portuguese - Brazil"
"438100","Traditional Chinese"
"438100","Spanish - Spain"
"438100","Polish"
"438100","Simplified Chinese"
"438100","Japanese"
"438100","Russian"
"438100","Italian"
"1144200","German"
"1144200","English"
"1144200","French"
"1144200","Korean"
"1144200","Spanish - Spain"
"1144200","Polish"
"1144200","Japanese"
"1144200","Simplified Chinese"
"1144200","Turkish"
"1144200","Russian"
"1144200","Italian"
"1144200","Portuguese - Portugal"
"526870","German"
"526870","English"
"526870","French"
"526870","Portuguese - Brazil"
"526870","Traditional Chinese"
"526870","Ukrainian"
"526870","Korean"
"526870","Spanish - Spain"
"526870","Polish"
"526870","Simplified Chinese"
"526870","Japanese"
"526870","Russian"
"526870","Italian"
"1468810","Traditional Chinese"
"1468810","Simplified Chinese"
"1468810","Korean"
"1468810","English"
"1551360","Czech"
"1551360","German"
"1551360","English"
"1551360","French"
"1551360","Portuguese - Brazil"
"1551360","Traditional Chinese"
"1551360","Korean"
"1551360","Hungarian"
"1551360","Spanish - Spain"
"1551360","Polish"
"1551360","Simplified Chinese"
"1551360","Japanese"
"1551360","Turkish"
"1551360","Spanish - Latin America"
"1551360","Russian"
"1551360","Italian"
"2246340","German"
"2246340","English"
"2246340","French"
"2246340","Portuguese - Brazil"
"2246340","Traditional Chinese"
"2246340","Korean"
"2246340","Spanish - Spain"
"2246340","Polish"
"2246340","Japanese"
"2246340","Simplified Chinese"
"2246340","Arabic"
"2246340","Spanish - Latin America"
"2246340","Russian"
"2246340","Italian"
"1426210","German"
"1426210","English"
"1426210","French"
