"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"566190","2.43","67","1346","22193.0","59.473763","78","1222","32","5","7","2"
"1590230","0.0","2","14","962737.0","98.57025","1","7","3","3","0","0"
"1389990","0.0","2","37","758560.0","118.11128","1","36","0","0","0","0"
"1839940","3.0","14","129","857633.0","85.80469","48","51","2","11","12","5"
"1214360","0.0","0","0","396907.0","47.993706","0","0","0","0","0","0"
"3149840","0.0","0","2","990646.0","83.86798","0","1","0","1","0","0"
"437570","2.9","88","1471","13156.0","62.113922","177","1188","13","26","60","7"
"2585830","0.0","0","1","1015572.0","72.43477","1","0","0","0","0","0"
"1032790","0.0","0","34","302900.0","55.12043","1","31","0","2","0","0"
"971680","4.0","6","90","261274.0","76.99847","1","82","4","2","1","0"
"2442460","3.33","6","50","962958.0","119.06499","10","14","4","20","2","0"
"251270","3.7","50","315","2172.0","71.52531","34","181","49","31","16","4"
"1078920","3.0","10","838","359247.0","74.20575","35","795","0","3","4","1"
"351700","4.33","11","97","12752.0","65.40552","9","79","0","6","2","1"
"1043390","3.33","6","108","349937.0","81.237434","2","96","2","5","3","0"
