"app_id","total_reactions","reaction_1","reaction_2","reaction_3","reaction_4","reaction_5","reaction_6","reaction_7","reaction_8","reaction_9","reaction_10","reaction_11","reaction_12","reaction_13","reaction_15","reaction_16","reaction_17","reaction_19","reaction_20","reaction_21"
"379430","15","3","1","6","1","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0"
"1172380","35","4","1","6","1","0","11","1","0","2","4","0","1","1","2","1","0","0","0","0"
"1593500","11","1","0","1","2","0","0","0","0","0","1","0","1","0","1","0","1","1","1","1"
"1332010","26","6","0","3","0","2","0","11","0","1","1","0","0","1","0","1","0","0","0","0"
"306130","4","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0"
"2379780","8","1","2","1","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0"
"1782210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1811260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304390","7","2","0","1","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
"262060","15","0","2","1","1","1","3","1","0","2","0","1","0","0","1","2","0","0","0","0"
"397540","21","0","0","1","0","0","0","3","6","1","0","2","0","1","3","2","1","0","0","1"
"444200","8","0","0","1","2","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0"
"552990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"601150","46","7","2","6","4","2","1","0","0","1","2","8","9","0","1","3","0","0","0","0"
"2881650","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"671860","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"524220","79","18","1","5","0","1","2","1","0","5","16","7","18","0","1","1","1","0","1","1"
"433340","6","1","0","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"686810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1057090","35","9","2","7","0","0","6","2","0","1","4","0","4","0","0","0","0","0","0","0"
"391220","13","2","0","3","1","0","0","4","0","1","0","2","0","0","0","0","0","0","0","0"
"508440","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"552500","7","0","0","0","1","0","0","0","3","0","0","0","0","1","1","0","0","0","0","1"
"1222680","11","0","0","0","0","0","0","1","0","0","0","1","0","2","2","3","0","1","0","1"
"244850","9","1","0","0","1","1","1","1","2","0","0","0","1","1","0","0","0","0","0","0"
"1092790","31","10","4","3","1","1","3","0","0","0","6","2","1","0","0","0","0","0","0","0"
"1868140","9","0","2","3","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0"
"570940","34","5","2","5","1","2","9","1","0","0","1","5","2","1","0","0","0","0","0","0"
"361420","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"457140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1677740","5","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0"
"362890","13","6","0","0","3","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0"
"581320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1158310","10","1","3","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"232090","6","1","0","1","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0"
"1151640","12","2","1","1","0","0","0","0","0","0","0","0","0","1","1","2","1","1","1","1"
"1289310","12","1","2","0","0","0","1","0","0","3","0","0","5","0","0","0","0","0","0","0"
"594570","8","0","3","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"323190","30","4","5","7","1","0","4","3","0","1","2","0","2","0","1","0","0","0","0","0"
"674940","5","0","1","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"1151340","17","0","0","2","1","0","0","2","2","0","0","0","1","2","2","3","1","0","0","1"
"412020","23","5","0","3","1","1","1","1","0","3","3","1","3","0","1","0","0","0","0","0"
"1506830","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
