"app_id","platform_names"
"1643320","PC"
"1643320","Xbox"
"387990","PC"
"1361210","PC"
"1361210","Xbox"
"1446780","PC"
"1446780","PlayStation"
"1446780","Xbox"
"1446780","Nintendo"
"1817070","PC"
"1817070","PlayStation"
"629760","PC"
"513710","PC"
"677620","PC"
"677620","PlayStation"
"677620","Xbox"
"632470","Apple Macintosh"
"632470","Nintendo"
"632470","PC"
"632470","PlayStation"
"632470","iOS"
"632470","Xbox"
"2527500","PC"
"1903340","PC"
"1903340","PlayStation"
"1903340","Xbox"
"424840","Nintendo"
"424840","PC"
"424840","PlayStation"
"424840","iOS"
"424840","Xbox"
"2195250","PC"
"2195250","PlayStation"
"2195250","Xbox"
"2195250","Nintendo"
"1167630","PC"
"1167630","PlayStation"
"440900","PC"
"440900","PlayStation"
"440900","Xbox"
"356190","PC"
"356190","PlayStation"
"356190","Xbox"
"356190","Android"
"2054970","PC"
"2054970","PlayStation"
"2054970","Xbox"
"976310","PC"
"976310","PlayStation"
"976310","Xbox"
"976310","Nintendo"
"779340","PC"
"779340","Apple Macintosh"
"779340","Linux"
"1313140","Apple Macintosh"
"1313140","Nintendo"
"1313140","PC"
"1313140","PlayStation"
"1313140","Xbox"
"1687950","PC"
"1687950","PlayStation"
"1687950","Xbox"
"1687950","Nintendo"
"1259420","PC"
"1259420","PlayStation"
"1943950","PC"
"1943950","Apple Macintosh"
"1771300","PC"
"1771300","PlayStation"
"1771300","Xbox"
"268500","Apple Macintosh"
"268500","Linux"
"268500","Nintendo"
"268500","PC"
"268500","PlayStation"
"219990","PC"
"219990","Xbox"
"1217060","PC"
"1217060","iOS"
"1721470","PC"
"233860","PC"
"418370","Apple Macintosh"
"418370","Nintendo"
"418370","PC"
"418370","PlayStation"
"418370","Xbox"
"1942280","PC"
"546560","PC"
"848450","Apple Macintosh"
"848450","Nintendo"
"848450","PC"
"848450","PlayStation"
"848450","Xbox"
"460930","PC"
"460930","PlayStation"
"460930","Xbox"
"2835570","PC"
"2835570","Linux"
"613100","Apple Macintosh"
"613100","Nintendo"
"613100","PC"
"613100","PlayStation"
"613100","iOS"
"613100","Xbox"
"646910","PC"
"646910","PlayStation"
"646910","Xbox"
"365590","PC"
"365590","PlayStation"
"365590","Xbox"
"466240","PC"
"389730","PC"
"389730","PlayStation"
"389730","Xbox"
"1665460","PC"
"1665460","PlayStation"
"1665460","Xbox"
"1030840","PC"
"1030840","PlayStation"
"1030840","Xbox"
"516750","PC"
"952060","PC"
"952060","PlayStation"
"952060","Xbox"
"952060","Nintendo"
"1046930","Apple Macintosh"
"1046930","Linux"
"1046930","Android"
"1046930","PC"
"1046930","iOS"
"383870","Apple Macintosh"
"383870","Linux"
"383870","Nintendo"
"383870","PC"
"383870","PlayStation"
"383870","Xbox"
"349040","PC"
"349040","PlayStation"
"349040","Xbox"
"1407200","PC"
"1407200","PlayStation"
"1407200","Xbox"
"582660","PC"
"582660","PlayStation"
"582660","Xbox"
"311690","Apple Macintosh"
"311690","Linux"
"311690","Nintendo"
"311690","PC"
"311690","PlayStation"
"311690","Xbox"
"1366540","PC"
"962130","PC"
"962130","PlayStation"
"962130","Xbox"
"1248130","PC"
"1248130","Apple Macintosh"
"1248130","PlayStation"
"1248130","Xbox"
"753640","PC"
"753640","PlayStation"
"753640","Xbox"
"753640","Nintendo"
"714010","PC"
"683320","Apple Macintosh"
"683320","Nintendo"
"683320","Android"
"683320","PC"
"683320","PlayStation"
"683320","iOS"
"683320","Xbox"
"635260","PC"
"635260","PlayStation"
"635260","Xbox"
"1274570","PC"
"1274570","Apple Macintosh"
"550650","PC"
"2001120","PC"
"2001120","PlayStation"
"2001120","Xbox"
"1466860","PC"
"815370","PC"
"815370","PlayStation"
"815370","Xbox"
"815370","Nintendo"
"1150690","PC"
"1150690","Apple Macintosh"
"1150690","Xbox"
"1150690","Nintendo"
"1454400","PC"
"1454400","Android"
"1454400","Web"
"1888930","PC"
"1888930","PlayStation"
"750920","PC"
"750920","PlayStation"
"750920","Xbox"
"881100","PC"
"1113000","PC"
"1113000","PlayStation"
"1113000","Xbox"
"1113000","Nintendo"
"1203620","PC"
"1888160","PC"
"1888160","PlayStation"
"1888160","Xbox"
"240720","PC"
"240720","Apple Macintosh"
"240720","iOS"
"240720","Android"
"397900","PC"
"2399830","PC"
"602960","PC"
"602960","Apple Macintosh"
"602960","Linux"
"2669320","PC"
"2669320","PlayStation"
"2669320","Xbox"
"787860","PC"
"787860","Apple Macintosh"
"787860","PlayStation"
"787860","Xbox"
"620980","PC"
"620980","PlayStation"
"588430","Nintendo"
"588430","Android"
"588430","PC"
"588430","PlayStation"
"588430","iOS"
"588430","Xbox"
"636480","PC"
"636480","Apple Macintosh"
"636480","Linux"
"949230","PC"
"949230","PlayStation"
"949230","Xbox"
"766570","PC"
"638970","PC"
"638970","PlayStation"
"638970","Xbox"
"414340","PC"
"414340","PlayStation"
"414340","Xbox"
"414340","Nintendo"
"678950","PC"
"678950","PlayStation"
"678950","Xbox"
"678950","Nintendo"
"728880","Apple Macintosh"
"728880","Linux"
"728880","Nintendo"
"728880","PC"
"728880","PlayStation"
"728880","Xbox"
"1363080","PC"
"471710","Nintendo"
"471710","PC"
"471710","PlayStation"
"471710","iOS"
"471710","Xbox"
"1237950","PC"
"1237950","PlayStation"
"1237950","Xbox"
"1533390","PC"
"1533390","iOS"
"1238860","PC"
"1238860","PlayStation"
"1238860","Xbox"
"460950","PC"
"460950","Apple Macintosh"
"460950","Xbox"
"460950","Nintendo"
"493340","PC"
"493340","PlayStation"
"493340","Xbox"
"924970","PC"
"924970","PlayStation"
"924970","Xbox"
"2670630","PC"
"304430","Apple Macintosh"
"304430","Nintendo"
"304430","PC"
"304430","PlayStation"
"304430","iOS"
"304430","Xbox"
"1286830","PC"
"424370","PC"
"2709570","PC"
"431240","Apple Macintosh"
"431240","Linux"
"431240","Nintendo"
"431240","PC"
"431240","PlayStation"
"431240","Xbox"
"1774580","PC"
"1774580","PlayStation"
"1774580","Xbox"
"387290","PC"
"387290","Xbox"
"387290","Nintendo"
"1304930","PC"
"1304930","PlayStation"
"1304930","Xbox"
"1404210","PC"
"1404210","PlayStation"
"1404210","Xbox"
"2231450","PC"
"3146520","PC"
"380600","Apple Macintosh"
"380600","Linux"
"380600","PC"
"380600","PlayStation"
"380600","iOS"
"2622380","PC"
"2622380","PlayStation"
"2622380","Xbox"
"1250410","PC"
"1250410","Xbox"
"1790600","PC"
"1790600","PlayStation"
"1790600","Xbox"
"1790600","Nintendo"
"2215430","PC"
"2215430","PlayStation"
"1049590","PC"
"489520","PC"
"489520","Xbox"
"1260320","PC"
"1260320","Xbox"
"1139900","PC"
"1139900","PlayStation"
"1139900","Xbox"
"1139900","Nintendo"
"403640","PC"
"403640","PlayStation"
"403640","Xbox"
"495420","PC"
"495420","Xbox"
"493520","PC"
"1778820","PC"
"1778820","PlayStation"
"1778820","Xbox"
"838350","PC"
"680420","PC"
"680420","PlayStation"
"680420","Xbox"
"1282100","PC"
"1282100","PlayStation"
"1282100","Xbox"
"285900","Apple Macintosh"
"285900","Linux"
"285900","PC"
"285900","PlayStation"
"285900","Xbox"
"1384160","PC"
"1384160","PlayStation"
"1384160","Xbox"
"504370","PC"
"2479810","PC"
"312660","PC"
"312660","PlayStation"
"312660","Xbox"
"312660","Nintendo"
"1272080","PC"
"1272080","PlayStation"
"1272080","Xbox"
"871720","Nintendo"
"871720","Android"
"871720","PC"
"871720","PlayStation"
"871720","iOS"
"871720","Xbox"
"409710","Apple Macintosh"
"409710","Nintendo"
"409710","PC"
"409710","PlayStation"
"409710","Xbox"
"418460","PC"
"760160","PC"
"760160","PlayStation"
"1364780","PC"
"1364780","PlayStation"
"1364780","Xbox"
"1328670","PC"
"1328670","PlayStation"
"1328670","Xbox"
"3240220","PC"
"246620","Apple Macintosh"
"246620","Linux"
"246620","Nintendo"
"246620","PC"
"246620","PlayStation"
"246620","Xbox"
"414700","PC"
"414700","PlayStation"
"414700","Xbox"
"414700","Nintendo"
"1621690","PC"
"1621690","Linux"
"1147560","Apple Macintosh"
"1147560","Nintendo"
"1147560","PC"
"1147560","Linux"
"1147560","Xbox"
"851850","PC"
"851850","PlayStation"
"851850","Xbox"
"851850","Nintendo"
"674020","PC"
"1284190","PC"
"648350","PC"
"648350","PlayStation"
"648350","Xbox"
"648350","Nintendo"
"880940","PC"
"420530","PC"
"420530","Apple Macintosh"
"637650","PC"
"2567870","Web"
"573090","PC"
"573090","Nintendo"
"454650","PC"
"454650","PlayStation"
"454650","Xbox"
"454650","Nintendo"
"617290","PC"
