"app_id","full_audio_languages"
"444200","Russian"
"444200","Turkish"
"444200","Italian"
"444200","English"
"444200","Traditional Chinese"
"444200","Ukrainian"
"444200","Japanese"
"444200","Hindi"
"444200","Czech"
"444200","Finnish"
"444200","French"
"444200","Thai"
"444200","Korean"
"444200","Polish"
"444200","Simplified Chinese"
"552990","German"
"552990","English"
"552990","French"
"552990","Portuguese - Brazil"
"552990","Traditional Chinese"
"552990","Korean"
"552990","Dutch"
"552990","Spanish - Spain"
"552990","Polish"
"552990","Simplified Chinese"
"552990","Japanese"
"552990","Spanish - Latin America"
"552990","Russian"
"552990","Italian"
"601150","Japanese"
"601150","Korean"
"601150","English"
"524220","Japanese"
"524220","English"
"391220","German"
"391220","English"
"391220","French"
"391220","Portuguese - Brazil"
"391220","Traditional Chinese"
"391220","Korean"
"391220","Spanish - Spain"
"391220","Polish"
"391220","Simplified Chinese"
"391220","Japanese"
"391220","Arabic"
"391220","Russian"
"391220","Italian"
"552500","Simplified Chinese"
"552500","English"
"1222680","German"
"1222680","English"
"1222680","French"
"1222680","Spanish - Spain"
"1222680","Polish"
"1222680","Japanese"
"1222680","Russian"
"1222680","Italian"
"570940","Traditional Chinese"
"570940","English"
"457140","Simplified Chinese"
"457140","Korean"
"457140","English"
"457140","Russian"
"362890","English"
"362890","Lithuanian"
"581320","English"
"581320","Turkish"
"1158310","Japanese"
"1158310","English"
"232090","German"
"232090","English"
"232090","French"
"232090","Traditional Chinese"
"232090","Spanish - Spain"
"232090","Japanese"
"232090","Russian"
"1151640","German"
"1151640","English"
"1151640","French"
"1151640","Portuguese - Brazil"
"1151640","Traditional Chinese"
"1151640","Spanish - Spain"
"1151640","Polish"
"1151640","Arabic"
"1151640","Spanish - Latin America"
"1151640","Russian"
"1151640","Italian"
"1151640","Portuguese - Portugal"
"594570","Traditional Chinese"
"594570","English"
"323190","Korean"
"323190","English"
"1151340","German"
"1151340","English"
"1151340","French"
"1151340","Portuguese - Brazil"
"1151340","Spanish - Spain"
"1151340","Japanese"
"1151340","Italian"
"412020","German"
"412020","English"
"412020","French"
"412020","Ukrainian"
"412020","Spanish - Spain"
"412020","Japanese"
"412020","Spanish - Latin America"
"412020","Russian"
"412020","Italian"
"1506830","German"
"1506830","English"
"1506830","French"
"1506830","Portuguese - Brazil"
"1506830","Dutch"
"1506830","Spanish - Spain"
"1506830","Turkish"
"1506830","Polish"
"1506830","Simplified Chinese"
"1506830","Japanese"
"1506830","Arabic"
"1506830","Spanish - Latin America"
"1506830","Russian"
"1506830","Italian"
"1142710","English"
"1142710","Turkish"
"1604030","Ukrainian"
"1604030","English"
"774171","Japanese"
"774171","Korean"
"1196590","German"
"1196590","English"
"1196590","French"
"1196590","Portuguese - Brazil"
"1196590","Spanish - Spain"
"1196590","Simplified Chinese"
"1196590","Japanese"
"1196590","Spanish - Latin America"
"1196590","Russian"
"1196590","Italian"
"1832640","Japanese"
"1832640","Russian"
"582160","German"
"582160","English"
"582160","French"
"582160","Portuguese - Brazil"
"582160","Traditional Chinese"
"582160","Spanish - Spain"
"582160","Japanese"
"582160","Russian"
"582160","Italian"
"1643320","Ukrainian"
"1643320","Serbian"
"1643320","English"
"1361210","Traditional Chinese"
"1361210","English"
"1446780","Japanese"
"1446780","English"
"1446780","Spanish - Latin America"
"1817070","German"
"1817070","English"
"1817070","French"
"1817070","Portuguese - Brazil"
"1817070","Traditional Chinese"
"1817070","Spanish - Spain"
"1817070","Polish"
"1817070","Japanese"
"1817070","Spanish - Latin America"
"1817070","Russian"
"1817070","Italian"
"1817070","Portuguese - Portugal"
"629760","Traditional Chinese"
"629760","English"
"513710","Polish"
"513710","English"
